planet_id,target_id,kepler_object_Name,planet_name,planet_status,preliminary_status,confidence_score,flag_not_transit_like,flag_stellar_Eclipse,flag_centroid_offset,flag_Ephemeris_match,orbital_period_days,orbital_period_upper_err1,orbital_period_lower_err2,tansit_Epoch_time,transit_time_upper_err1,transit_time_lower_err2,impact_parameter,impact_upper_err1,impact_lower_err2,transit_duration_hours,transit_duration_upper_err1,transit_duration_lower_err2,transit_depth_ppm,transit_depth_upper_err1,transit_depth_lower_err2,planet_size_earths,planet_size_earths_err1,planet_size_earths_err2,planet_temperature_k_elvin,planet_temperature_k_elvin_err1,planet_temperature_k_elvin_err2,insolation_flux_earths,insolation_upper_err1,insolation_lower_err2,signal _to_noise_ratio,TEC_planet_number,tce_delivery_name,star_temperature_kelvi n,star_temperature_kelvi n_err1,star_temperature_kelvi n_err2,star_gravity_logg,star_gravity_upper_err1,star_gravity_lower_err2,star_size_suns,star_size_upper_err1,star_size_lower_err2,sky_right_ascension,sky_declination,kepler_magnitude_brightness
87,4139816,K00812.03,Kepler-235 e,CONFIRMED,CANDIDATE,1,0,0,0,0,koi_period,2.65E-04,-2.65E-04,165.23729,4.30E-03,-4.30E-03,0.013,0.415,-0.013,4.758,0.13,-0.13,1.39E+03,5.64E+01,-5.64E+01,1.83,1.20E-01,-1.50E-01,273,,,1.32,0.29,-0.3,26,3,q1_q17_dr25_tce,3950,70,-86,4.754,0.042,-0.031,0.493,0.033,-0.04,286.07913,39.27832,15.954
170,6435936,K00854.01,Kepler-705 b,CONFIRMED,CANDIDATE,0.996,0,0,0,0,koi_period,2.75E-04,-2.75E-04,201.16578,3.29E-03,-3.29E-03,0.018,0.413,-0.018,4.685,0.132,-0.132,1.63E+03,6.67E+01,-6.67E+01,1.94,1.20E-01,-2.20E-01,233,,,0.69,0.15,-0.19,27.4,1,q1_q17_dr25_tce,3593,71,-86,4.757,0.054,-0.027,0.491,0.03,-0.055,289.50848,41.812119,15.849
532,10166274,K01078.03,Kepler-267 d,CONFIRMED,CANDIDATE,0.992,0,0,0,0,koi_period,8.81E-05,-8.81E-05,158.03986,2.54E-03,-2.54E-03,0.035,0.395,-0.035,2.6657,0.0806,-0.0806,1.63E+03,6.03E+01,-6.03E+01,1.87,1.40E-01,-2.20E-01,301,,,1.95,0.49,-0.55,28.9,3,q1_q17_dr25_tce,3789,75,-82,4.781,0.063,-0.031,0.46,0.035,-0.053,299.83041,47.157459,15.438
560,9710326,K00947.01,Kepler-737 b,CONFIRMED,CANDIDATE,1,0,0,0,0,koi_period,5.49E-05,-5.49E-05,189.92667,1.57E-03,-1.57E-03,0.009,0.374,-0.009,3.6567,0.0556,-0.0556,1.59E+03,3.39E+01,-3.39E+01,1.83,1.60E-01,-2.10E-01,298,,,1.87,0.52,-0.53,53.8,1,q1_q17_dr25_tce,3755,75,-84,4.781,0.063,-0.031,0.461,0.04,-0.053,291.86285,46.42926,15.19
631,10002261,K00959.01,,CANDIDATE,CANDIDATE,0.729,0,0,0,0,koi_period,2.60E-07,-2.60E-07,175.0725677,1.50E-05,-1.50E-05,0.485,0.081,-0.072,2.44093,0.00378,-0.00378,3.67E+04,1.20E+01,-1.20E+01,2.31,0.00E+00,0.00E+00,181,,,0.26,0,0,2981.3,1,q1_q17_dr25_tce,2661,0,0,5.283,0,0,0.116,0,0,287.55972,46.957085,13.102
663,6960913,K01361.01,Kepler-61 b,CONFIRMED,CANDIDATE,0.998,0,0,0,0,koi_period,1.50E-04,-1.50E-04,151.1847,2.10E-03,-2.10E-03,0.004,0.411,-0.004,4.8027,0.0705,-0.0705,1.42E+03,3.23E+01,-3.23E+01,2.19,8.00E-02,-1.40E-01,273,,,1.31,0.22,-0.24,51.8,1,q1_q17_dr25_tce,4016,79,-79,4.658,0.039,-0.015,0.599,0.023,-0.037,295.3045,42.475288,14.995
973,11497958,K01422.02,Kepler-296 d,CONFIRMED,CANDIDATE,1,0,0,0,0,koi_period,5.53E-05,-5.53E-05,133.64933,2.16E-03,-2.16E-03,0.217,0.245,-0.217,2.8407,0.0741,-0.0741,1.61E+03,5.07E+01,-5.07E+01,1.52,1.90E-01,-2.30E-01,297,,,1.83,0.68,-0.62,34.4,2,q1_q17_dr25_tce,3526,71,-78,4.866,0.066,-0.044,0.383,0.048,-0.058,286.54001,49.437328,15.921
1276,8692861,K00172.02,Kepler-69 c,CONFIRMED,CANDIDATE,0.693,0,0,0,0,koi_period,2.60E-03,-2.60E-03,150.85827,7.42E-03,-7.42E-03,0.173,0.263,-0.173,12.808,0.265,-0.265,3.40E+02,1.52E+01,-1.52E+01,1.73,2.10E-01,-2.20E-01,286,,,1.59,0.59,-0.45,23.2,2,q1_q17_dr25_tce,5637,113,-101,4.399,0.132,-0.088,0.943,0.117,-0.117,293.26093,44.868889,13.749
1470,10779233,K01989.01,Kepler-1040 b,CONFIRMED,CANDIDATE,0.861,0,0,0,0,koi_period,1.46E-03,-1.46E-03,187.56986,5.29E-03,-5.29E-03,0.001,0.417,-0.001,10.328,0.165,-0.165,5.85E+02,1.92E+01,-1.92E+01,2.28,3.20E-01,-2.00E-01,300,,,1.92,0.77,-0.44,34.7,1,q1_q17_dr25_tce,5646,101,-112,4.447,0.072,-0.108,0.954,0.135,-0.083,283.11377,48.13139,13.328
1550,10027323,K01596.02,Kepler-309 c,CONFIRMED,CANDIDATE,0.738,0,0,0,0,koi_period,5.25E-04,-5.25E-04,138.68069,3.27E-03,-3.27E-03,0.75,0.196,-0.511,3.81,0.137,-0.137,1.21E+03,5.61E+01,-5.61E+01,1.87,1.30E-01,-1.70E-01,204,,,0.41,0.09,-0.1,22.6,2,q1_q17_dr25_tce,3883,69,-93,4.762,0.04,-0.036,0.496,0.036,-0.044,297.50986,46.961262,15.157
